id,team_api_id,team_long_name,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression
8,9998,RAEC Mons,2012-02-22 00:00:00,50,50,55,48,46,46,45
8,9998,RAEC Mons,2013-09-20 00:00:00,50,50,55,67,46,46,45
8,9998,RAEC Mons,2014-09-19 00:00:00,55,55,55,67,46,46,45
10,9985,Standard de Liège,2010-02-22 00:00:00,53,40,55,55,65,70,70
10,9985,Standard de Liège,2011-02-22 00:00:00,68,66,53,66,63,59,47
10,9985,Standard de Liège,2012-02-22 00:00:00,75,70,55,58,60,45,60
10,9985,Standard de Liège,2013-09-20 00:00:00,54,62,55,58,60,45,60
10,9985,Standard de Liège,2014-09-19 00:00:00,54,62,55,58,60,45,54
10,9985,Standard de Liège,2015-09-10 00:00:00,54,62,55,58,60,45,54
11,8203,KV Mechelen,2010-02-22 00:00:00,65,60,50,40,50,60,70
11,8203,KV Mechelen,2011-02-22 00:00:00,67,57,47,47,52,48,61
11,8203,KV Mechelen,2012-02-22 00:00:00,52,54,47,53,50,52,60
11,8203,KV Mechelen,2013-09-20 00:00:00,52,33,47,53,50,42,60
11,8203,KV Mechelen,2014-09-19 00:00:00,52,40,47,53,50,42,51
11,8203,KV Mechelen,2015-09-10 00:00:00,52,40,47,53,50,42,51
12,8342,Club Brugge KV,2010-02-22 00:00:00,35,40,45,50,45,60,70
12,8342,Club Brugge KV,2011-02-22 00:00:00,67,47,68,49,53,57,44
12,8342,Club Brugge KV,2012-02-22 00:00:00,64,54,48,61,47,60,50
12,8342,Club Brugge KV,2013-09-20 00:00:00,45,48,48,61,47,43,59
12,8342,Club Brugge KV,2014-09-19 00:00:00,42,45,42,57,47,51,50
12,8342,Club Brugge KV,2015-09-10 00:00:00,42,45,42,57,47,51,50
13,9999,KSV Roeselare,2010-02-22 00:00:00,65,60,50,35,40,65,70
14,8571,KV Kortrijk,2010-02-22 00:00:00,50,60,50,50,50,60,60
14,8571,KV Kortrijk,2011-02-22 00:00:00,38,65,38,69,52,34,57
14,8571,KV Kortrijk,2012-02-22 00:00:00,31,47,37,67,50,46,45
14,8571,KV Kortrijk,2013-09-20 00:00:00,42,40,37,67,30,46,45
14,8571,KV Kortrijk,2014-09-19 00:00:00,42,47,37,67,30,46,45
14,8571,KV Kortrijk,2015-09-10 00:00:00,42,47,37,67,30,46,45
16,9996,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,50,50,45,45
16,9996,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,50,50,45,45
17,10001,KVC Westerlo,2010-02-22 00:00:00,45,60,40,45,55,70,70
17,10001,KVC Westerlo,2011-02-22 00:00:00,34,52,66,48,53,48,59
17,10001,KVC Westerlo,2012-02-22 00:00:00,52,50,59,60,32,48,45
17,10001,KVC Westerlo,2015-09-10 00:00:00,52,50,57,55,32,48,45
18,9986,Sporting Charleroi,2010-02-22 00:00:00,40,50,45,43,60,70,70
18,9986,Sporting Charleroi,2011-02-22 00:00:00,47,36,34,33,53,49,58
18,9986,Sporting Charleroi,2013-09-20 00:00:00,60,53,48,50,48,42,48
18,9986,Sporting Charleroi,2014-09-19 00:00:00,60,53,48,50,48,42,48
18,9986,Sporting Charleroi,2015-09-10 00:00:00,60,53,48,50,48,39,48
614,9997,Sint-Truidense VV,2010-02-22 00:00:00,50,50,50,50,50,50,50
614,9997,Sint-Truidense VV,2011-02-22 00:00:00,53,53,48,52,53,46,46
614,9997,Sint-Truidense VV,2012-02-22 00:00:00,52,55,52,55,47,32,40
1034,9989,Lierse SK,2011-02-22 00:00:00,48,65,55,45,50,46,48
1034,9989,Lierse SK,2012-02-22 00:00:00,69,58,56,52,61,45,49
1034,9989,Lierse SK,2013-09-20 00:00:00,69,58,56,52,61,38,49
1034,9989,Lierse SK,2014-09-19 00:00:00,69,58,56,52,61,38,49
1034,9989,Lierse SK,2015-09-10 00:00:00,69,58,56,52,61,38,49
1042,6351,KAS Eupen,2011-02-22 00:00:00,50,55,50,55,55,50,50
1513,1773,Oud-Heverlee Leuven,2012-02-22 00:00:00,52,50,50,53,54,43,44
1513,1773,Oud-Heverlee Leuven,2013-09-20 00:00:00,52,50,50,53,54,43,44
1513,1773,Oud-Heverlee Leuven,2014-09-19 00:00:00,52,50,50,53,54,43,44
2004,8475,Waasland-Beveren,2013-09-20 00:00:00,62,53,50,30,54,30,49
2004,8475,Waasland-Beveren,2014-09-19 00:00:00,38,39,29,30,39,25,37
2004,8475,Waasland-Beveren,2015-09-10 00:00:00,38,49,45,42,53,27,32
2476,8573,KV Oostende,2014-09-19 00:00:00,52,54,45,42,53,42,47
2476,8573,KV Oostende,2015-09-10 00:00:00,52,54,45,42,53,42,47
2510,274581,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,50,50,45,45
3457,10260,Manchester United,2010-02-22 00:00:00,70,45,45,70,65,40,50
3457,10260,Manchester United,2011-02-22 00:00:00,65,40,65,65,70,45,45
3457,10260,Manchester United,2012-02-22 00:00:00,46,54,46,60,55,40,50
3457,10260,Manchester United,2013-09-20 00:00:00,46,38,46,68,37,49,49
3457,10260,Manchester United,2014-09-19 00:00:00,46,54,49,72,56,42,41
3457,10260,Manchester United,2015-09-10 00:00:00,38,44,49,44,40,54,53
3458,10261,Newcastle United,2010-02-22 00:00:00,70,60,65,70,60,45,65
3458,10261,Newcastle United,2011-02-22 00:00:00,55,50,60,50,60,45,45
3458,10261,Newcastle United,2012-02-22 00:00:00,54,54,54,68,48,52,48
3458,10261,Newcastle United,2013-09-20 00:00:00,58,72,48,51,46,41,39
3458,10261,Newcastle United,2014-09-19 00:00:00,54,47,47,51,39,56,54
3458,10261,Newcastle United,2015-09-10 00:00:00,58,49,47,54,46,41,39
3459,9825,Arsenal,2010-02-22 00:00:00,66,30,30,45,35,30,40
3459,9825,Arsenal,2011-02-22 00:00:00,75,40,40,45,65,50,40
3459,9825,Arsenal,2012-02-22 00:00:00,25,32,41,34,30,57,57
3459,9825,Arsenal,2013-09-20 00:00:00,30,29,41,55,39,64,54
3459,9825,Arsenal,2014-09-19 00:00:00,59,26,28,55,64,51,44
3459,9825,Arsenal,2015-09-10 00:00:00,59,30,28,44,46,51,44
3460,8659,West Bromwich Albion,2010-02-22 00:00:00,65,40,70,70,55,70,70
3460,8659,West Bromwich Albion,2011-02-22 00:00:00,60,65,40,50,45,35,55
3460,8659,West Bromwich Albion,2012-02-22 00:00:00,48,48,45,60,54,38,38
3460,8659,West Bromwich Albion,2013-09-20 00:00:00,55,54,57,53,57,33,31
3460,8659,West Bromwich Albion,2014-09-19 00:00:00,55,51,53,53,57,41,40
3460,8659,West Bromwich Albion,2015-09-10 00:00:00,62,51,53,50,60,41,40
3461,8472,Sunderland,2010-02-22 00:00:00,60,70,70,70,55,35,70
3461,8472,Sunderland,2011-02-22 00:00:00,55,55,55,65,55,45,55
3461,8472,Sunderland,2012-02-22 00:00:00,67,62,44,72,59,47,53
3461,8472,Sunderland,2013-09-20 00:00:00,57,66,56,31,72,47,52
3461,8472,Sunderland,2014-09-19 00:00:00,60,61,56,44,58,41,38
3461,8472,Sunderland,2015-09-10 00:00:00,43,51,59,50,55,47,45
3462,8650,Liverpool,2010-02-22 00:00:00,50,35,50,60,70,40,60
3462,8650,Liverpool,2011-02-22 00:00:00,60,50,40,45,60,55,55
3462,8650,Liverpool,2012-02-22 00:00:00,60,60,48,73,53,50,48
3462,8650,Liverpool,2013-09-20 00:00:00,39,44,42,34,54,59,52
3462,8650,Liverpool,2014-09-19 00:00:00,71,32,34,41,61,51,48
3462,8650,Liverpool,2015-09-10 00:00:00,66,45,34,34,46,51,52
3463,8654,West Ham United,2010-02-22 00:00:00,58,30,31,70,50,30,70
3463,8654,West Ham United,2011-02-22 00:00:00,35,35,30,45,45,45,45
3463,8654,West Ham United,2012-02-22 00:00:00,63,64,44,60,55,30,34
3463,8654,West Ham United,2013-09-20 00:00:00,72,73,61,74,32,30,37
3463,8654,West Ham United,2014-09-19 00:00:00,72,73,68,71,32,30,34
3463,8654,West Ham United,2015-09-10 00:00:00,77,57,68,73,29,30,37
3464,8528,Wigan Athletic,2010-02-22 00:00:00,70,70,70,70,50,35,70
3464,8528,Wigan Athletic,2011-02-22 00:00:00,35,50,45,65,50,45,55
3464,8528,Wigan Athletic,2012-02-22 00:00:00,38,38,54,42,42,40,42
3464,8528,Wigan Athletic,2013-09-20 00:00:00,38,39,43,42,34,56,52
3464,8528,Wigan Athletic,2014-09-19 00:00:00,51,51,52,55,57,62,57
3464,8528,Wigan Athletic,2015-09-10 00:00:00,51,56,52,59,40,62,48
3465,10252,Aston Villa,2010-02-22 00:00:00,70,59,65,70,50,30,70
3465,10252,Aston Villa,2011-02-22 00:00:00,65,50,45,55,50,35,45
3465,10252,Aston Villa,2012-02-22 00:00:00,67,58,44,60,56,43,50
3465,10252,Aston Villa,2013-09-20 00:00:00,63,59,52,55,34,39,41
3465,10252,Aston Villa,2014-09-19 00:00:00,66,72,63,48,56,39,42
3465,10252,Aston Villa,2015-09-10 00:00:00,63,54,60,48,38,35,44
3466,8456,Manchester City,2010-02-22 00:00:00,70,60,55,70,70,45,55
3466,8456,Manchester City,2011-02-22 00:00:00,70,60,70,65,75,65,65
3466,8456,Manchester City,2012-02-22 00:00:00,45,55,40,38,48,50,60
3466,8456,Manchester City,2013-09-20 00:00:00,36,34,39,44,38,42,44
3466,8456,Manchester City,2014-09-19 00:00:00,59,29,32,49,62,42,44
3466,8456,Manchester City,2015-09-10 00:00:00,59,29,38,36,24,48,47
3467,8668,Everton,2010-02-22 00:00:00,60,65,60,70,45,40,70
3467,8668,Everton,2011-02-22 00:00:00,60,50,55,70,55,55,65
3467,8668,Everton,2012-02-22 00:00:00,56,56,48,57,56,50,50
3467,8668,Everton,2013-09-20 00:00:00,58,62,48,59,32,41,44
3467,8668,Everton,2014-09-19 00:00:00,61,42,39,59,48,52,58
3467,8668,Everton,2015-09-10 00:00:00,43,40,39,33,63,52,58
3468,8655,Blackburn Rovers,2010-02-22 00:00:00,55,70,60,70,55,45,70
3468,8655,Blackburn Rovers,2011-02-22 00:00:00,55,65,50,50,35,45,60
3468,8655,Blackburn Rovers,2012-02-22 00:00:00,57,57,55,45,40,42,50
3468,8655,Blackburn Rovers,2013-09-20 00:00:00,44,64,55,52,40,42,50
3468,8655,Blackburn Rovers,2014-09-19 00:00:00,44,62,63,61,40,50,50
3468,8655,Blackburn Rovers,2015-09-10 00:00:00,60,65,59,58,42,50,50
3469,8549,Middlesbrough,2010-02-22 00:00:00,70,70,70,70,50,30,70
3469,8549,Middlesbrough,2011-02-22 00:00:00,66,51,64,64,48,54,44
3469,8549,Middlesbrough,2012-02-22 00:00:00,60,72,40,56,72,38,42
3469,8549,Middlesbrough,2013-09-20 00:00:00,60,40,40,56,57,38,42
3469,8549,Middlesbrough,2014-09-19 00:00:00,60,56,49,56,72,38,42
3469,8549,Middlesbrough,2015-09-10 00:00:00,60,46,43,55,37,38,42
3470,8586,Tottenham Hotspur,2010-02-22 00:00:00,70,50,50,65,50,50,50
3470,8586,Tottenham Hotspur,2011-02-22 00:00:00,60,55,70,70,70,30,40
3470,8586,Tottenham Hotspur,2012-02-22 00:00:00,44,47,52,63,61,43,44
3470,8586,Tottenham Hotspur,2013-09-20 00:00:00,42,46,45,58,68,63,61
3470,8586,Tottenham Hotspur,2014-09-19 00:00:00,41,38,41,59,62,58,51
3470,8586,Tottenham Hotspur,2015-09-10 00:00:00,47,40,41,41,63,63,54
3471,8559,Bolton Wanderers,2010-02-22 00:00:00,55,70,70,70,45,35,70
3471,8559,Bolton Wanderers,2011-02-22 00:00:00,45,70,55,70,50,40,55
3471,8559,Bolton Wanderers,2012-02-22 00:00:00,57,56,45,54,54,48,48
3471,8559,Bolton Wanderers,2013-09-20 00:00:00,57,53,42,38,54,39,48
3471,8559,Bolton Wanderers,2014-09-19 00:00:00,57,73,72,43,56,39,48
3471,8559,Bolton Wanderers,2015-09-10 00:00:00,57,61,72,60,38,39,48
3472,10194,Stoke City,2010-02-22 00:00:00,65,70,70,70,55,35,70
3472,10194,Stoke City,2011-02-22 00:00:00,50,80,30,70,35,25,65
3472,10194,Stoke City,2012-02-22 00:00:00,75,75,40,72,55,50,58
3472,10194,Stoke City,2013-09-20 00:00:00,75,73,59,61,38,32,37
3472,10194,Stoke City,2014-09-19 00:00:00,48,55,51,57,37,38,40
3472,10194,Stoke City,2015-09-10 00:00:00,48,49,51,59,49,44,37
3473,8667,Hull City,2010-02-22 00:00:00,65,60,70,70,55,70,70
3473,8667,Hull City,2011-02-22 00:00:00,49,52,64,64,37,46,46
3473,8667,Hull City,2012-02-22 00:00:00,61,48,38,60,54,38,42
3473,8667,Hull City,2013-09-20 00:00:00,63,48,38,60,54,34,37
3473,8667,Hull City,2014-09-19 00:00:00,56,51,54,60,48,38,37
3473,8667,Hull City,2015-09-10 00:00:00,56,55,54,49,56,38,37
3474,9879,Fulham,2010-02-22 00:00:00,60,70,70,70,50,40,35
3474,9879,Fulham,2011-02-22 00:00:00,50,55,45,55,40,45,35
3474,9879,Fulham,2012-02-22 00:00:00,48,45,38,62,54,38,38
3474,9879,Fulham,2013-09-20 00:00:00,52,49,49,56,59,39,39
3474,9879,Fulham,2014-09-19 00:00:00,52,56,58,41,54,29,28
3474,9879,Fulham,2015-09-10 00:00:00,52,48,39,54,59,29,30
3475,8455,Chelsea,2010-02-22 00:00:00,70,60,56,70,70,30,60
3475,8455,Chelsea,2011-02-22 00:00:00,60,50,60,60,80,35,55
3475,8455,Chelsea,2012-02-22 00:00:00,60,45,55,45,45,60,62
3475,8455,Chelsea,2013-09-20 00:00:00,46,41,46,61,63,42,43
3475,8455,Chelsea,2014-09-19 00:00:00,67,38,41,61,68,39,41
3475,8455,Chelsea,2015-09-10 00:00:00,67,36,41,34,44,39,41
3476,8462,Portsmouth,2010-02-22 00:00:00,70,70,70,70,55,40,70
3476,8462,Portsmouth,2011-02-22 00:00:00,36,48,48,66,51,36,44
3476,8462,Portsmouth,2012-02-22 00:00:00,64,59,40,42,56,49,51
3476,8462,Portsmouth,2013-09-20 00:00:00,68,62,40,47,56,49,51
3476,8462,Portsmouth,2014-09-19 00:00:00,59,57,49,47,53,39,40
3476,8462,Portsmouth,2015-09-10 00:00:00,59,57,49,47,53,39,40
4218,8658,Birmingham City,2010-02-22 00:00:00,70,70,70,70,70,70,70
4218,8658,Birmingham City,2011-02-22 00:00:00,45,60,35,50,40,30,60
4218,8658,Birmingham City,2012-02-22 00:00:00,51,55,41,62,56,42,48
4218,8658,Birmingham City,2013-09-20 00:00:00,56,57,45,71,41,42,44
4218,8658,Birmingham City,2014-09-19 00:00:00,56,79,77,71,56,42,48
4218,8658,Birmingham City,2015-09-10 00:00:00,56,75,77,62,64,42,47
4225,8602,Wolverhampton Wanderers,2010-02-22 00:00:00,70,70,70,70,70,70,70
4225,8602,Wolverhampton Wanderers,2011-02-22 00:00:00,55,55,60,60,45,45,45
4225,8602,Wolverhampton Wanderers,2012-02-22 00:00:00,67,68,42,68,56,48,60
4225,8602,Wolverhampton Wanderers,2013-09-20 00:00:00,63,61,42,73,56,42,48
4225,8602,Wolverhampton Wanderers,2014-09-19 00:00:00,47,58,55,64,56,47,48
4225,8602,Wolverhampton Wanderers,2015-09-10 00:00:00,46,54,55,47,48,47,48
4234,8191,Burnley,2010-02-22 00:00:00,70,65,70,70,70,65,70
4234,8191,Burnley,2011-02-22 00:00:00,36,52,49,68,55,24,56
4234,8191,Burnley,2012-02-22 00:00:00,48,44,56,58,48,52,50
4234,8191,Burnley,2013-09-20 00:00:00,54,55,56,59,48,48,50
4234,8191,Burnley,2014-09-19 00:00:00,48,74,72,59,58,54,57
4234,8191,Burnley,2015-09-10 00:00:00,54,67,72,57,47,63,62
4996,8483,Blackpool,2010-02-22 00:00:00,70,70,70,70,65,70,70
4996,8483,Blackpool,2011-02-22 00:00:00,70,30,65,30,65,45,50
4996,8483,Blackpool,2012-02-22 00:00:00,45,52,60,58,58,49,52
4996,8483,Blackpool,2013-09-20 00:00:00,45,52,60,58,58,49,52
4996,8483,Blackpool,2014-09-19 00:00:00,67,72,70,48,58,39,38
4996,8483,Blackpool,2015-09-10 00:00:00,62,64,59,43,64,39,38
5744,10003,Swansea City,2010-02-22 00:00:00,65,70,70,70,70,70,70
5744,10003,Swansea City,2011-02-22 00:00:00,66,34,52,51,64,44,47
5744,10003,Swansea City,2012-02-22 00:00:00,26,24,62,39,57,48,58
5744,10003,Swansea City,2013-09-20 00:00:00,41,39,36,42,44,52,58
5744,10003,Swansea City,2014-09-19 00:00:00,63,34,34,51,36,51,58
5744,10003,Swansea City,2015-09-10 00:00:00,45,42,34,36,55,31,47
5747,10172,Queens Park Rangers,2010-02-22 00:00:00,70,70,70,70,70,70,70
5747,10172,Queens Park Rangers,2011-02-22 00:00:00,51,49,36,48,52,44,43
5747,10172,Queens Park Rangers,2012-02-22 00:00:00,57,58,60,48,48,42,51
5747,10172,Queens Park Rangers,2013-09-20 00:00:00,58,54,53,39,54,49,47
5747,10172,Queens Park Rangers,2014-09-19 00:00:00,52,53,53,54,54,50,44
5747,10172,Queens Park Rangers,2015-09-10 00:00:00,30,61,53,53,60,50,44
5756,9850,Norwich City,2010-02-22 00:00:00,65,70,70,70,55,60,70
5756,9850,Norwich City,2011-02-22 00:00:00,49,52,48,64,66,34,54
5756,9850,Norwich City,2012-02-22 00:00:00,63,61,42,76,62,40,50
5756,9850,Norwich City,2013-09-20 00:00:00,70,70,56,67,48,40,43
5756,9850,Norwich City,2014-09-19 00:00:00,45,64,55,67,42,40,43
5756,9850,Norwich City,2015-09-10 00:00:00,45,55,46,54,47,38,39
6504,8466,Southampton,2010-02-22 00:00:00,70,55,70,70,65,70,70
6504,8466,Southampton,2011-02-22 00:00:00,52,37,48,49,47,43,43
6504,8466,Southampton,2012-02-22 00:00:00,47,52,54,56,60,48,52
6504,8466,Southampton,2013-09-20 00:00:00,47,38,52,56,58,57,63
6504,8466,Southampton,2014-09-19 00:00:00,47,40,42,56,51,62,64
6504,8466,Southampton,2015-09-10 00:00:00,52,46,42,54,30,50,65
6509,9798,Reading,2010-02-22 00:00:00,70,70,70,70,70,70,60
6509,9798,Reading,2011-02-22 00:00:00,49,36,57,73,55,49,31
6509,9798,Reading,2012-02-22 00:00:00,49,49,46,58,56,49,51
6509,9798,Reading,2013-09-20 00:00:00,49,61,55,58,37,39,44
6509,9798,Reading,2014-09-19 00:00:00,44,72,71,39,37,58,52
6509,9798,Reading,2015-09-10 00:00:00,44,64,62,65,42,51,47
7261,9826,Crystal Palace,2010-02-22 00:00:00,70,70,70,70,65,65,60
7261,9826,Crystal Palace,2011-02-22 00:00:00,53,54,69,48,52,48,43
7261,9826,Crystal Palace,2012-02-22 00:00:00,43,46,69,66,47,44,27
7261,9826,Crystal Palace,2013-09-20 00:00:00,52,47,69,66,47,36,33
7261,9826,Crystal Palace,2014-09-19 00:00:00,61,68,67,62,52,36,34
7261,9826,Crystal Palace,2015-09-10 00:00:00,61,67,67,69,50,36,34
7276,8344,Cardiff City,2010-02-22 00:00:00,65,70,70,70,70,70,70
7276,8344,Cardiff City,2011-02-22 00:00:00,67,49,67,67,48,46,47
7276,8344,Cardiff City,2012-02-22 00:00:00,60,64,54,46,54,47,43
7276,8344,Cardiff City,2013-09-20 00:00:00,60,69,54,59,62,47,43
7276,8344,Cardiff City,2014-09-19 00:00:00,60,54,52,46,41,33,41
7276,8344,Cardiff City,2015-09-10 00:00:00,60,67,52,56,46,33,41
8021,8197,Leicester City,2010-02-22 00:00:00,70,70,70,70,45,70,70
8021,8197,Leicester City,2011-02-22 00:00:00,36,52,36,52,52,51,34
8021,8197,Leicester City,2012-02-22 00:00:00,45,48,48,56,56,48,52
8021,8197,Leicester City,2013-09-20 00:00:00,45,48,48,56,56,48,52
8021,8197,Leicester City,2014-09-19 00:00:00,63,48,47,62,69,58,62
8021,8197,Leicester City,2015-09-10 00:00:00,63,60,47,64,46,58,65
8779,8678,Bournemouth,2010-02-22 00:00:00,70,70,70,70,60,70,70
8779,8678,Bournemouth,2011-02-22 00:00:00,51,66,68,33,47,27,46
8779,8678,Bournemouth,2012-02-22 00:00:00,46,46,54,60,52,48,50
8779,8678,Bournemouth,2013-09-20 00:00:00,39,38,54,43,52,48,50
8779,8678,Bournemouth,2014-09-19 00:00:00,47,48,46,48,41,48,50
8779,8678,Bournemouth,2015-09-10 00:00:00,47,47,49,45,47,48,50
8784,9817,Watford,2010-02-22 00:00:00,70,70,70,70,65,70,70
8784,9817,Watford,2011-02-22 00:00:00,64,53,67,67,48,44,47
8784,9817,Watford,2012-02-22 00:00:00,66,66,45,60,60,48,50
8784,9817,Watford,2013-09-20 00:00:00,67,45,45,38,53,38,52
8784,9817,Watford,2014-09-19 00:00:00,61,56,54,44,55,38,52
8784,9817,Watford,2015-09-10 00:00:00,61,52,54,42,45,38,52
9537,8583,AJ Auxerre,2010-02-22 00:00:00,30,70,35,65,35,30,55
9537,8583,AJ Auxerre,2011-02-22 00:00:00,35,65,35,65,50,35,45
9537,8583,AJ Auxerre,2012-02-22 00:00:00,64,49,51,63,50,34,45
9537,8583,AJ Auxerre,2013-09-20 00:00:00,64,49,51,63,50,34,45
9537,8583,AJ Auxerre,2014-09-19 00:00:00,64,49,51,63,50,34,45
9537,8583,AJ Auxerre,2015-09-10 00:00:00,64,49,51,63,50,34,45
9538,9830,FC Nantes,2010-02-22 00:00:00,55,35,60,65,35,30,45
9538,9830,FC Nantes,2011-02-22 00:00:00,50,50,35,50,35,45,55
9538,9830,FC Nantes,2012-02-22 00:00:00,46,51,52,34,49,47,43
9538,9830,FC Nantes,2013-09-20 00:00:00,46,51,52,44,49,47,51
9538,9830,FC Nantes,2014-09-19 00:00:00,63,48,52,55,49,47,51
9538,9830,FC Nantes,2015-09-10 00:00:00,63,56,52,55,46,39,41
9539,9827,Girondins de Bordeaux,2010-02-22 00:00:00,70,35,70,50,70,55,70
9539,9827,Girondins de Bordeaux,2011-02-22 00:00:00,50,35,50,65,65,55,45
9539,9827,Girondins de Bordeaux,2012-02-22 00:00:00,49,37,49,64,51,44,46
9539,9827,Girondins de Bordeaux,2013-09-20 00:00:00,49,37,49,64,51,44,46
9539,9827,Girondins de Bordeaux,2014-09-19 00:00:00,38,36,49,55,51,37,33
9539,9827,Girondins de Bordeaux,2015-09-10 00:00:00,51,48,49,63,44,57,52
9540,7819,SM Caen,2010-02-22 00:00:00,65,30,50,65,40,70,65
9540,7819,SM Caen,2011-02-22 00:00:00,65,35,35,65,65,55,45
9540,7819,SM Caen,2012-02-22 00:00:00,48,52,48,54,53,47,45
9540,7819,SM Caen,2013-09-20 00:00:00,48,52,48,54,53,47,45
9540,7819,SM Caen,2014-09-19 00:00:00,62,45,48,54,53,43,42
9540,7819,SM Caen,2015-09-10 00:00:00,62,45,48,54,53,43,42
9541,9746,Le Havre AC,2010-02-22 00:00:00,55,45,40,50,65,30,70
9541,9746,Le Havre AC,2011-02-22 00:00:00,50,50,65,50,65,45,45
9541,9746,Le Havre AC,2012-02-22 00:00:00,46,52,49,54,52,47,55
9541,9746,Le Havre AC,2013-09-20 00:00:00,46,52,49,54,52,47,55
9541,9746,Le Havre AC,2014-09-19 00:00:00,46,52,49,54,52,47,55
9541,9746,Le Havre AC,2015-09-10 00:00:00,46,52,49,54,52,47,55
9542,9831,OGC Nice,2010-02-22 00:00:00,70,70,60,30,65,70,70
9542,9831,OGC Nice,2011-02-22 00:00:00,50,50,50,50,65,45,45
9542,9831,OGC Nice,2012-02-22 00:00:00,48,66,49,51,34,26,47
9542,9831,OGC Nice,2013-09-20 00:00:00,48,66,49,66,34,56,47
9542,9831,OGC Nice,2014-09-19 00:00:00,48,66,49,66,34,56,47
9542,9831,OGC Nice,2015-09-10 00:00:00,48,53,49,66,38,57,47
9543,8682,Le Mans FC,2010-02-22 00:00:00,70,45,65,60,65,70,60
9543,8682,Le Mans FC,2011-02-22 00:00:00,65,50,65,65,65,60,55
9543,8682,Le Mans FC,2012-02-22 00:00:00,58,47,49,68,50,47,44
9543,8682,Le Mans FC,2013-09-20 00:00:00,58,47,49,68,50,47,44
